Feature team	Prefix
AIF	AF
AIF	AIF
AIF	AxBase
AIF	AxdBase
AIF	AxdGenerate
AIF	AxdGenericDocument
AIF	AxdSend
AIF	AxdStack
AIF	AxdUtil
AIF	AxdWizard
AIF	AxdXML
AIF	AxGenerate
AIF	AxInternalBase
AIF	AxMapPolicy
AIF	Gateway
AIF	MSMQ
AIF	SysAction
AIF	SysOperation
AIF	SysQuick
AIF	SysException
AIF	SysOperationProgressWait
AIF	SysReferenceNodeAddService
AIF	SysResourceNodeAddService
AIF	System.XML
AIF	SysBPCheckAIF
AIF	SysBPCheckAxD
AIF	SysBPCheckDataSet
AIF	SysBPCheckService
AIF	SysUpgradeAIF
AIF	XML
AIF	XSD
AIF	Runbase
AIF	Data
	
AppConfig	AppConfig
AppConfig	RapidStart
AppConfig	SysLcs
	
Business Intelligence	BI
Business Intelligence	CompanyDomainListView
Business Intelligence	DSO
Business Intelligence	DocuActionSSRSReport
Business Intelligence	EPCEO
Business Intelligence	ClientPrintJobSettings
Business Intelligence	Dynamics AX
Business Intelligence	ImageListAppl_BIAnalysisServices
Business Intelligence	Microsoft.Dynamics...ramework.Management
Business Intelligence	Microsoft.Dynamics.Analysis
Business Intelligence	Microsoft.Dynamics.AX.Framework.Analytics
Business Intelligence	Microsoft.Dynamics...Framework.Analytics
Business Intelligence	Microsoft.Dynamics.AX...Reports.Shared
Business Intelligence	Microsoft.Dynamics.AX.Framework.Reports
Business Intelligence	Microsoft.Dynamics.Report
Business Intelligence	OLAP
Business Intelligence	OuputSection
Business Intelligence	Output
Business Intelligence	PDF
Business Intelligence	PowerView
Business Intelligence	Print
Business Intelligence	Report
Business Intelligence	SRS
Business Intelligence	SSAS
Business Intelligence	SSRS
Business Intelligence	SysArgs
Business Intelligence	SysAutoReport
Business Intelligence	SysBIAnalysis
Business Intelligence	SysBPCheckReport
Business Intelligence	SysBPCheckSSRS
Business Intelligence	SysCom
Business Intelligence	SysDummyPrintViewer
Business Intelligence	SysPDF
Business Intelligence	SysPrint
Business Intelligence	SysReport
Business Intelligence	SysRTF
Business Intelligence	SysSaveReport
Business Intelligence	SysSecuritySRSHelper
Business Intelligence	SysSRS
Business Intelligence	SysTableForm
Business Intelligence	SystemList
Business Intelligence	TmpAnalysis
Business Intelligence	UsePrintMgmt
